date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:32:21	95188/95188	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:25%20GMT	https://www.tutorialcup.com/dbms/physical-data-models.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/physical-data-models.html	(from https://www.tutorialcup.com/dbms/)
00:32:21	108054/108054	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:26%20GMT	https://www.tutorialcup.com/dbms/record-based-data-models.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/record-based-data-models.html	(from https://www.tutorialcup.com/dbms/)
00:32:21	106295/106295	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:26%20GMT	https://www.tutorialcup.com/dbms/basic-concept-er-data-model.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/basic-concept-er-data-model.html	(from https://www.tutorialcup.com/dbms/)
00:32:22	102981/102981	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:26%20GMT	https://www.tutorialcup.com/dbms/er-data-model.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/er-data-model.html	(from https://www.tutorialcup.com/dbms/)
00:32:22	106757/106757	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:27%20GMT	https://www.tutorialcup.com/dbms/er-model-into-tables.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/er-model-into-tables.html	(from https://www.tutorialcup.com/dbms/)
00:32:23	96544/96544	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:27%20GMT	https://www.tutorialcup.com/dbms/database-abstraction.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/database-abstraction.html	(from https://www.tutorialcup.com/dbms/)
00:32:23	100012/100012	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:27%20GMT	https://www.tutorialcup.com/dbms/database-users-administrators.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/database-users-administrators.html	(from https://www.tutorialcup.com/dbms/)
00:32:23	115068/115068	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:28%20GMT	https://www.tutorialcup.com/dbms/relational-query-languages.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/relational-query-languages.html	(from https://www.tutorialcup.com/dbms/)
00:32:24	99095/99095	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:28%20GMT	https://www.tutorialcup.com/dbms/relational-calculus.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/relational-calculus.html	(from https://www.tutorialcup.com/dbms/)
00:32:24	101137/101137	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:29%20GMT	https://www.tutorialcup.com/dbms/file-organization.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/file-organization.html	(from https://www.tutorialcup.com/dbms/)
00:32:24	95842/95842	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:29%20GMT	https://www.tutorialcup.com/dbms/sequential-file-organization.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/sequential-file-organization.html	(from https://www.tutorialcup.com/dbms/)
00:32:25	95520/95520	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:29%20GMT	https://www.tutorialcup.com/dbms/heap-file-organization.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/heap-file-organization.html	(from https://www.tutorialcup.com/dbms/)
00:32:25	96906/96906	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:30%20GMT	https://www.tutorialcup.com/dbms/hash-file-organization.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/hash-file-organization.html	(from https://www.tutorialcup.com/dbms/)
00:32:25	94677/94677	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:30%20GMT	https://www.tutorialcup.com/dbms/indexed-sequential-sccess-method.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/indexed-sequential-sccess-method.html	(from https://www.tutorialcup.com/dbms/)
00:32:26	95945/95945	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:30%20GMT	https://www.tutorialcup.com/dbms/b-plus-tree.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/b-plus-tree.html	(from https://www.tutorialcup.com/dbms/)
00:32:26	97225/97225	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:31%20GMT	https://www.tutorialcup.com/dbms/cluster-file-organization.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/cluster-file-organization.html	(from https://www.tutorialcup.com/dbms/)
